!STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
! from https://github.com/lofar-astron/lofar-antenna-positions Edited to leave only Dutch LBA
CS003,LBA,69,3826497.528,460934.831,5064960.461,43,42
CS003,LBA,70,3826501.761,460949.712,5064955.939,45,44
CS003,LBA,71,3826514.519,460956.639,5064945.736,47,46
CS003,LBA,72,3826524.208,460962.632,5064937.922,49,48
CS003,LBA,73,3826533.378,460952.510,5064931.954,51,50
CS003,LBA,74,3826540.250,460940.263,5064927.902,53,52
CS003,LBA,75,3826543.008,460932.879,5064926.499,55,54
CS003,LBA,76,3826539.970,460914.644,5064930.428,57,56
CS003,LBA,77,3826532.013,460900.172,5064937.709,59,58
CS003,LBA,78,3826522.892,460896.171,5064944.916,61,60
CS003,LBA,79,3826515.888,460899.989,5064949.829,63,62
CS003,LBA,80,3826504.154,460900.627,5064958.579,65,64
CS003,LBA,81,3826493.442,460914.808,5064965.338,67,66
CS003,LBA,82,3826490.885,460923.326,5064966.487,69,68
CS003,LBA,83,3826490.059,460939.241,5064965.669,71,70
CS003,LBA,84,3826493.939,460945.604,5064962.181,73,72
CS003,LBA,85,3826505.011,460960.082,5064952.562,75,74
CS003,LBA,86,3826510.389,460959.564,5064948.572,77,76
CS003,LBA,87,3826510.389,460965.817,5064948.007,79,78
CS003,LBA,88,3826541.305,460956.898,5064925.607,81,80
CS003,LBA,89,3826548.931,460932.662,5064922.073,83,82
CS003,LBA,90,3826548.550,460912.700,5064924.163,85,84
CS003,LBA,91,3826540.628,460900.601,5064931.204,87,86
CS003,LBA,92,3826505.601,460892.112,5064958.262,89,88
CS003,LBA,93,3826493.674,460909.547,5064965.639,91,90
CS003,LBA,94,3826484.874,460922.227,5064971.099,93,92
CS003,LBA,95,3826497.778,460961.241,5064957.887,95,94
CS003,HBA,0,3826461.391,461002.804,5064981.442,0,1
CS003,HBA,1,3826462.896,461007.479,5064979.889,2,3
CS003,HBA,2,3826463.725,460995.999,5064980.305,4,5
CS003,HBA,3,3826465.231,461000.673,5064978.752,6,7
CS003,HBA,4,3826466.736,461005.348,5064977.200,8,9
CS003,HBA,5,3826468.242,461010.021,5064975.647,10,11
CS003,HBA,6,3826466.059,460989.195,5064979.168,12,13
CS003,HBA,7,3826467.565,460993.868,5064977.615,14,15
CS003,HBA,8,3826469.071,460998.542,5064976.063,16,17
CS003,HBA,9,3826470.576,461003.217,5064974.510,18,19
CS003,HBA,10,3826472.082,461007.890,5064972.957,20,21
CS003,HBA,11,3826473.588,461012.564,5064971.404,22,23
CS003,HBA,12,3826469.900,460987.064,5064976.478,24,25
CS003,HBA,13,3826471.406,460991.738,5064974.925,26,27
CS003,HBA,14,3826472.912,460996.411,5064973.372,28,29
CS003,HBA,15,3826474.417,461001.086,5064971.819,30,31
CS003,HBA,16,3826475.923,461005.760,5064970.267,32,33
CS003,HBA,17,3826477.429,461010.433,5064968.714,34,35
CS003,HBA,18,3826475.246,460989.607,5064972.235,36,37
CS003,HBA,19,3826476.752,460994.280,5064970.682,38,39
CS003,HBA,20,3826478.257,460998.955,5064969.130,40,41
CS003,HBA,21,3826479.763,461003.629,5064967.577,42,43
CS003,HBA,22,3826480.592,460992.149,5064967.993,44,45
CS003,HBA,23,3826482.097,460996.824,5064966.440,46,47
CS003,HBA,24,3826509.300,461042.483,5064941.895,48,49
CS003,HBA,25,3826512.134,461046.018,5064939.447,50,51
CS003,HBA,26,3826509.462,461035.221,5064942.429,52,53
CS003,HBA,27,3826512.296,461038.756,5064939.982,54,55
CS003,HBA,28,3826515.131,461042.292,5064937.535,56,57
CS003,HBA,29,3826517.965,461045.826,5064935.088,58,59
CS003,HBA,30,3826509.623,461027.959,5064942.965,60,61
CS003,HBA,31,3826512.457,461031.494,5064940.517,62,63
CS003,HBA,32,3826515.293,461035.030,5064938.070,64,65
CS003,HBA,33,3826518.127,461038.564,5064935.622,66,67
CS003,HBA,34,3826520.962,461042.100,5064933.175,68,69
CS003,HBA,35,3826523.796,461045.635,5064930.728,70,71
CS003,HBA,36,3826512.620,461024.233,5064941.052,72,73
CS003,HBA,37,3826515.454,461027.768,5064938.605,74,75
CS003,HBA,38,3826518.289,461031.304,5064936.158,76,77
CS003,HBA,39,3826521.123,461034.838,5064933.710,78,79
CS003,HBA,40,3826523.959,461038.374,5064931.263,80,81
CS003,HBA,41,3826526.793,461041.909,5064928.815,82,83
CS003,HBA,42,3826518.451,461024.042,5064936.692,84,85
CS003,HBA,43,3826521.285,461027.576,5064934.245,86,87
CS003,HBA,44,3826524.120,461031.112,5064931.798,88,89
CS003,HBA,45,3826526.954,461034.647,5064929.351,90,91
CS003,HBA,46,3826524.282,461023.850,5064932.333,92,93
